pod_name,node_name,node_group,namespace,owner_kind,owner_name,req_cpu_milli_core,req_mem_byte,limit_cpu_mili_core,limit_mem_bytes
607f67ab0f4e8619a6eb6bdaa2116faa,ip-172-29-32-144.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
2576f87ad3d4d20a80630e2df67e9155,ip-172-29-40-88.ec2.internal,0,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
dc8b929e64c65539c93f068c7f14d1cf,ip-172-29-33-50.ec2.internal,1,gaia-full-test-set8-k8s-40,ReplicaSet,7e13b0dfe12f258844fb93be6f3f749e,50,536870912,0,0
983ac86d911b6cb059dd0ffdfff2a715,ip-172-29-34-201.ec2.internal,1,gaia-full-test-set8-k8s-40,ReplicaSet,20766c6cfcd1b6fca4ccbe20ad676c45,50,536870912,0,0
3e9b23ccdfeb86b7004e407608bbf654,ip-172-29-33-153.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
0ce93f0fa64c0ae35c60d304548b87b2,ip-172-29-41-160.ec2.internal,2,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
bc407d341d80e0202631d6bf26135e2f,ip-172-29-33-221.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
defbe7614c9ca2a695e1408c89876955,ip-172-29-32-79.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
4edd34e5b9052b088a60544048e03422,ip-172-29-32-177.ec2.internal,3,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
3ac7004fc6b1da64d70800d12525cb9f,ip-172-29-32-214.ec2.internal,4,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
051570c2b14ceeb592065b850d08734f,ip-172-29-34-67.ec2.internal,1,staging,ReplicaSet,fbd5b174230828ae76e9b6a40ece2ea2,20,2147483648,0,0
463572c90c2ca97df9537ffd36b9f15a,ip-172-29-33-160.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
94fae4f363d16b10250aa0b30ce74800,ip-172-29-34-36.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
fdd7b606481c8fc6dc4649087951f6f3,ip-172-29-35-93.ec2.internal,1,staging,ReplicaSet,711c0098986fcc626d67f9531d2a4ed7,20,1073741824,0,0
58df7d8cecc032ac5c3b31d95a591bd3,ip-172-29-33-10.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
