Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost
M5DN Extra Large,m5dn.xlarge,16,0,4,0,None,0,0,0,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,150               NVMe SSD,Yes,Yes,64-bit,Up to 25 Gigabit,4750.0 Mbps,593.75 Mbps,18750.0 IOPS,Yes,60,4,No,Yes,Yes,No,Unknown,No,0.272,0.171,0.332,0.231,unavailable,unavailable,0.456,0.355,0.524,0.423,0.936,0.835,1.956,1.855,0.34,0.239,0.752,0.651,1.772,1.671,0,unavailable
M5A Double Extra Large,m5a.2xlarge,32,0,8,0,None,0,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,2880.0 Mbps,360.0 Mbps,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,Yes,0.344,0.217,0.474,0.347,0.494,0.277,0.712,0.585,0.847,0.72,1.672,1.545,3.712,3.585,0.479,0.352,1.304,1.177,3.344,3.217,0,0.086
R5N 12xlarge,r5n.12xlarge,384,0,48,0,None,0,0,0,0,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,50 Gigabit,9500.0 Mbps,1187.5 Mbps,40000.0 IOPS,Yes,240,8,No,Yes,Yes,No,Unknown,No,3.576,2.253,3.706,2.383,unavailable,unavailable,5.784,4.461,6.595,5.272,11.544,10.221,23.784,22.461,4.387,3.064,9.336,8.013,21.576,20.253,0,unavailable
R5AD Extra Large,r5ad.xlarge,32,0,4,0,None,0,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,150               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2880.0 Mbps,360.0 Mbps,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,0.262,0.165,0.322,0.225,0.387,0.215,0.446,0.349,0.514,0.417,0.926,0.829,1.946,1.849,0.33,0.233,0.742,0.645,1.762,1.665,0,unavailable
R5N Extra Large,r5n.xlarge,32,0,4,0,None,0,0,0,0,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 25 Gigabit,4750.0 Mbps,593.75 Mbps,18750.0 IOPS,Yes,60,4,No,Yes,Yes,No,Unknown,No,0.298,0.188,0.358,0.248,unavailable,unavailable,0.482,0.372,0.55,0.439,0.962,0.852,1.982,1.872,0.366,0.255,0.778,0.668,1.798,1.688,0,unavailable
R5DN Extra Large,r5dn.xlarge,32,0,4,0,None,0,0,0,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,150               NVMe SSD,Yes,Yes,64-bit,Up to 25 Gigabit,4750.0 Mbps,593.75 Mbps,18750.0 IOPS,Yes,60,4,No,Yes,Yes,No,Unknown,No,0.334,0.21,0.394,0.27,unavailable,unavailable,0.518,0.394,0.586,0.462,0.998,0.874,2.018,1.894,0.402,0.278,0.814,0.69,1.834,1.71,0,unavailable
I2 Extra Large,i2.xlarge,30.5,14,4,0,None,0,0,0,3.5,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,unknown,Yes,800               SSD,Yes,Yes,64-bit,Moderate,500.0 Mbps,62.5 Mbps,4000.0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,0.853,0.424,0.913,0.484,0.953,0.46,0.973,0.565,0.993,0.578,1.23,0.768,2.537,2.108,0.921,0.449,1.333,0.861,2.353,1.881,0.02,0.213
M5N 16xlarge,m5n.16xlarge,256,0,64,0,None,0,0,0,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,75 Gigabit,13600.0 Mbps,1700.0 Mbps,60000.0 IOPS,Yes,750,15,No,Yes,Yes,No,Unknown,No,3.808,2.399,3.938,2.529,unavailable,unavailable,6.752,5.343,7.834,6.425,14.432,13.023,30.752,29.343,4.89,3.481,11.488,10.079,27.808,26.399,0,unavailable
T2 Micro,t2.micro,1,Base performance:                 10%,1                                                   for a                 2h 24m                 burst,0,None,0,0,0,Burstable,Intel Xeon Family,Up to 3.3 GHz,Yes,unknown,unknown,Yes,EBS only,N/A,N/A,32/64-bit,Low to Moderate,N/A,0 Mbps,0 IOPS,No,4,2,No,Yes,Yes,No,HVM,No,0.0116,0.0072,0.0716,0.0672,0.0216,0.0162,0.0162,0.0118,0.068,0.047,unavailable,unavailable,unavailable,unavailable,0.0792,0.0748,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
D2 Eight Extra Large,d2.8xlarge,244,116,36,0,None,0,0,0,3.222,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,Yes,Yes,unknown,Yes,48000               (24 * 2000 HDD),Yes,N/A,64-bit,10 Gigabit,4000.0 Mbps,500.0 Mbps,32000.0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,5.52,3.216,5.65,3.346,5.62,3.253,6.198,3.3,unavailable,unavailable,unavailable,unavailable,20.676,18.375,unavailable,unavailable,unavailable,unavailable,19.02,16.398,0,0.27
