name,cpu,memory,num_nodes,cost
c6gd.xlarge,3628,7393.923072,0,0.0
c5a.xlarge,3628,7393.923072,0,0.0
a1.xlarge,3628,7393.923072,0,0.0
c6g.xlarge,3628,7393.923072,0,0.0
c5ad.xlarge,3628,7393.923072,0,0.0
inf1.xlarge,3628,7393.923072,0,0.0
c5d.xlarge,3628,7393.923072,0,0.0
c5.xlarge,3628,7393.923072,0,0.0
a1.4xlarge,15628,31393.923072,6,1.542
a1.metal,15628,31393.923072,6,1.542
a1.2xlarge,7628,15393.923072,12,1.542
t4g.2xlarge,7628,31393.923072,11,1.8546
t4g.xlarge,3628,15393.923072,22,1.8546
m6g.4xlarge,15628,63393.923072,5,1.9320000000000002
c6g.8xlarge,31628,63393.923072,3,2.0562
c6g.4xlarge,15628,31393.923072,6,2.0562
c6g.12xlarge,47628,95393.923072,2,2.0564
c6g.2xlarge,7628,15393.923072,12,2.0568
t3a.2xlarge,7628,31393.923072,11,2.0745999999999998
t3a.xlarge,3628,15393.923072,22,2.0745999999999998
m6g.xlarge,3628,15393.923072,22,2.1252
m6g.2xlarge,7628,31393.923072,11,2.1252
m5a.4xlarge,15628,63393.923072,5,2.165
m6gd.4xlarge,15628,63393.923072,5,2.278
t3.2xlarge,7628,31393.923072,11,2.2946
t3.xlarge,3628,15393.923072,22,2.2946
m6g.8xlarge,31628,127393.923072,3,2.3184
m6g.12xlarge,47628,191393.923072,2,2.3184
c6gd.2xlarge,7628,15393.923072,12,2.322
c6gd.8xlarge,31628,63393.923072,3,2.3223000000000003
c6gd.12xlarge,47628,95393.923072,2,2.3224
c6gd.4xlarge,15628,31393.923072,6,2.3226
c5a.24xlarge,95628,191393.923072,1,2.328
c5a.12xlarge,47628,95393.923072,2,2.328
c5a.2xlarge,7628,15393.923072,12,2.3280000000000003
c5a.4xlarge,15628,31393.923072,6,2.3280000000000003
c5a.8xlarge,31628,63393.923072,3,2.3280000000000003
m5a.xlarge,3628,15393.923072,22,2.376
